

Microchip Technology PIC PRO Macro Assembler V2.00 build -1524193055 
                                                                                               Thu Apr 11 11:59:54 2019

Microchip Technology Omniscient Code Generator v2.00 (PRO mode) build 20180527130849
     1                           	processor	16F15344
     2                           	opt	pw 120
     3                           	opt	pm
     4                           	psect	nvCOMMON,global,class=COMMON,space=1,delta=1
     5                           	psect	nvBANK0,global,class=BANK0,space=1,delta=1
     6                           	psect	cinit,global,class=CODE,merge=1,delta=2
     7                           	psect	bssCOMMON,global,class=COMMON,space=1,delta=1
     8                           	psect	bssBANK0,global,class=BANK0,space=1,delta=1
     9                           	psect	clrtext,global,class=CODE,delta=2
    10                           	psect	cstackCOMMON,global,class=COMMON,space=1,delta=1
    11                           	psect	cstackBANK0,global,class=BANK0,space=1,delta=1
    12                           	psect	text2,local,class=CODE,merge=1,delta=2
    13                           	psect	text5,local,class=CODE,merge=1,delta=2
    14                           	psect	swtext1,local,class=CONST,delta=2
    15                           	psect	text26,local,class=CODE,merge=1,delta=2
    16                           	psect	text28,local,class=CODE,merge=1,delta=2
    17                           	psect	text29,local,class=CODE,merge=1,delta=2
    18                           	psect	text36,local,class=CODE,merge=1,delta=2
    19                           	psect	text40,local,class=CODE,merge=1,delta=2
    20                           	psect	text41,local,class=CODE,merge=1,delta=2
    21                           	psect	text43,local,class=CODE,merge=1,delta=2
    22                           	psect	text45,local,class=CODE,merge=1,delta=2
    23                           	psect	text55,local,class=CODE,merge=1,delta=2
    24                           	psect	intentry,global,class=CODE,delta=2
    25                           	psect	text61,local,class=CODE,merge=1,delta=2
    26                           	psect	text62,local,class=CODE,merge=1,delta=2
    27                           	psect	text63,local,class=CODE,merge=1,delta=2
    28                           	psect	text65,local,class=CODE,merge=1,delta=2
    29                           	psect	text66,local,class=CODE,merge=1,delta=2
    30                           	psect	text69,local,class=CODE,merge=1,delta=2
    31                           	psect	text71,local,class=CODE,merge=1,delta=2
    32                           	psect	text72,local,class=CODE,merge=1,delta=2
    33                           	psect	text75,local,class=CODE,merge=1,delta=2
    34                           	psect	text77,local,class=CODE,merge=1,delta=2
    35                           	psect	text78,local,class=CODE,merge=1,delta=2
    36                           	psect	text79,local,class=CODE,merge=1,delta=2
    37                           	psect	text80,local,class=CODE,merge=1,delta=2
    38                           	psect	text81,local,class=CODE,merge=1,delta=2
    39                           	psect	pa_nodes0,global,class=CODE,delta=2
    40                           	dabs	1,0x7E,2
    41  0000                     
    42                           ; Version 2.00
  4782  088F                     	;# 
  4783  0890                     	;# 
  4784  0891                     	;# 
  4785  0892                     	;# 
  4786  0893                     	;# 
  4787  0895                     	;# 
  4788  0896                     	;# 
  4789  090C                     	;# 
  4790  090E                     	;# 
  4791  090F                     	;# 
  4792  091F                     	;# 
  4793  098F                     	;# 
  4794  098F                     	;# 
  4795  0990                     	;# 
  4796  0991                     	;# 
  4797  0992                     	;# 
  4798  0993                     	;# 
  4799  0994                     	;# 
  4800  0995                     	;# 
  4801  0996                     	;# 
  4802  0997                     	;# 
  4803  0A19                     	;# 
  4804  0A19                     	;# 
  4805  0A1A                     	;# 
  4806  0A1A                     	;# 
  4807  0A1B                     	;# 
  4808  0A1B                     	;# 
  4809  0A1B                     	;# 
  4810  0A1C                     	;# 
  4811  0A1C                     	;# 
  4812  0A1D                     	;# 
  4813  0A1D                     	;# 
  4814  0A1E                     	;# 
  4815  0A1E                     	;# 
  4816  0A1F                     	;# 
  4817  0A1F                     	;# 
  4818  0A1F                     	;# 
  4819  1E0F                     	;# 
  4820  1E10                     	;# 
  4821  1E11                     	;# 
  4822  1E12                     	;# 
  4823  1E13                     	;# 
  4824  1E14                     	;# 
  4825  1E15                     	;# 
  4826  1E16                     	;# 
  4827  1E17                     	;# 
  4828  1E18                     	;# 
  4829  1E19                     	;# 
  4830  1E1A                     	;# 
  4831  1E1B                     	;# 
  4832  1E1C                     	;# 
  4833  1E1D                     	;# 
  4834  1E1E                     	;# 
  4835  1E1F                     	;# 
  4836  1E20                     	;# 
  4837  1E21                     	;# 
  4838  1E22                     	;# 
  4839  1E23                     	;# 
  4840  1E24                     	;# 
  4841  1E25                     	;# 
  4842  1E26                     	;# 
  4843  1E27                     	;# 
  4844  1E28                     	;# 
  4845  1E29                     	;# 
  4846  1E2A                     	;# 
  4847  1E2B                     	;# 
  4848  1E2C                     	;# 
  4849  1E2D                     	;# 
  4850  1E2E                     	;# 
  4851  1E2F                     	;# 
  4852  1E30                     	;# 
  4853  1E31                     	;# 
  4854  1E32                     	;# 
  4855  1E33                     	;# 
  4856  1E34                     	;# 
  4857  1E35                     	;# 
  4858  1E36                     	;# 
  4859  1E37                     	;# 
  4860  1E8F                     	;# 
  4861  1E90                     	;# 
  4862  1E91                     	;# 
  4863  1E92                     	;# 
  4864  1E93                     	;# 
  4865  1E9C                     	;# 
  4866  1EA1                     	;# 
  4867  1EA2                     	;# 
  4868  1EB1                     	;# 
  4869  1EBB                     	;# 
  4870  1EBC                     	;# 
  4871  1EBD                     	;# 
  4872  1EBE                     	;# 
  4873  1EC3                     	;# 
  4874  1EC5                     	;# 
  4875  1EC6                     	;# 
  4876  1EC7                     	;# 
  4877  1ECB                     	;# 
  4878  1ECC                     	;# 
  4879  1ECD                     	;# 
  4880  1ECE                     	;# 
  4881  1F10                     	;# 
  4882  1F11                     	;# 
  4883  1F12                     	;# 
  4884  1F13                     	;# 
  4885  1F14                     	;# 
  4886  1F15                     	;# 
  4887  1F1C                     	;# 
  4888  1F1D                     	;# 
  4889  1F1E                     	;# 
  4890  1F1F                     	;# 
  4891  1F20                     	;# 
  4892  1F21                     	;# 
  4893  1F22                     	;# 
  4894  1F23                     	;# 
  4895  1F24                     	;# 
  4896  1F25                     	;# 
  4897  1F26                     	;# 
  4898  1F27                     	;# 
  4899  1F38                     	;# 
  4900  1F39                     	;# 
  4901  1F3A                     	;# 
  4902  1F3B                     	;# 
  4903  1F3C                     	;# 
  4904  1F3D                     	;# 
  4905  1F3E                     	;# 
  4906  1F3F                     	;# 
  4907  1F43                     	;# 
  4908  1F44                     	;# 
  4909  1F45                     	;# 
  4910  1F46                     	;# 
  4911  1F47                     	;# 
  4912  1F48                     	;# 
  4913  1F49                     	;# 
  4914  1F4A                     	;# 
  4915  1F4E                     	;# 
  4916  1F4F                     	;# 
  4917  1F50                     	;# 
  4918  1F51                     	;# 
  4919  1F52                     	;# 
  4920  1F53                     	;# 
  4921  1F54                     	;# 
  4922  1F55                     	;# 
  4923  1FE4                     	;# 
  4924  1FE5                     	;# 
  4925  1FE6                     	;# 
  4926  1FE7                     	;# 
  4927  1FE8                     	;# 
  4928  1FE8                     	;# 
  4929  1FE9                     	;# 
  4930  1FEA                     	;# 
  4931  1FEA                     	;# 
  4932  1FEB                     	;# 
  4933  1FED                     	;# 
  4934  1FEE                     	;# 
  4935  1FEF                     	;# 
  4936  0000                     	;# 
  4937  0001                     	;# 
  4938  0002                     	;# 
  4939  0003                     	;# 
  4940  0004                     	;# 
  4941  0005                     	;# 
  4942  0006                     	;# 
  4943  0007                     	;# 
  4944  0008                     	;# 
  4945  0009                     	;# 
  4946  000A                     	;# 
  4947  000B                     	;# 
  4948  000C                     	;# 
  4949  000D                     	;# 
  4950  000E                     	;# 
  4951  0012                     	;# 
  4952  0013                     	;# 
  4953  0014                     	;# 
  4954  0018                     	;# 
  4955  0019                     	;# 
  4956  001A                     	;# 
  4957  009B                     	;# 
  4958  009B                     	;# 
  4959  009C                     	;# 
  4960  009D                     	;# 
  4961  009E                     	;# 
  4962  009F                     	;# 
  4963  0119                     	;# 
  4964  0119                     	;# 
  4965  0119                     	;# 
  4966  011A                     	;# 
  4967  011A                     	;# 
  4968  011A                     	;# 
  4969  011B                     	;# 
  4970  011B                     	;# 
  4971  011B                     	;# 
  4972  011B                     	;# 
  4973  011B                     	;# 
  4974  011C                     	;# 
  4975  011C                     	;# 
  4976  011C                     	;# 
  4977  011D                     	;# 
  4978  011D                     	;# 
  4979  011D                     	;# 
  4980  011E                     	;# 
  4981  011E                     	;# 
  4982  011E                     	;# 
  4983  011F                     	;# 
  4984  011F                     	;# 
  4985  011F                     	;# 
  4986  011F                     	;# 
  4987  011F                     	;# 
  4988  018C                     	;# 
  4989  018D                     	;# 
  4990  018E                     	;# 
  4991  018F                     	;# 
  4992  0190                     	;# 
  4993  0191                     	;# 
  4994  0192                     	;# 
  4995  020C                     	;# 
  4996  020C                     	;# 
  4997  020D                     	;# 
  4998  020E                     	;# 
  4999  020F                     	;# 
  5000  020F                     	;# 
  5001  0210                     	;# 
  5002  0210                     	;# 
  5003  0211                     	;# 
  5004  0211                     	;# 
  5005  028C                     	;# 
  5006  028C                     	;# 
  5007  028D                     	;# 
  5008  028D                     	;# 
  5009  028E                     	;# 
  5010  028F                     	;# 
  5011  0290                     	;# 
  5012  0291                     	;# 
  5013  030C                     	;# 
  5014  030C                     	;# 
  5015  030D                     	;# 
  5016  030E                     	;# 
  5017  030F                     	;# 
  5018  0310                     	;# 
  5019  0310                     	;# 
  5020  0311                     	;# 
  5021  0312                     	;# 
  5022  0313                     	;# 
  5023  0314                     	;# 
  5024  0314                     	;# 
  5025  0315                     	;# 
  5026  0316                     	;# 
  5027  0318                     	;# 
  5028  0318                     	;# 
  5029  0319                     	;# 
  5030  031A                     	;# 
  5031  031C                     	;# 
  5032  031C                     	;# 
  5033  031D                     	;# 
  5034  031E                     	;# 
  5035  038C                     	;# 
  5036  038C                     	;# 
  5037  038D                     	;# 
  5038  038E                     	;# 
  5039  058C                     	;# 
  5040  058C                     	;# 
  5041  058D                     	;# 
  5042  058E                     	;# 
  5043  058F                     	;# 
  5044  058F                     	;# 
  5045  0590                     	;# 
  5046  0591                     	;# 
  5047  0592                     	;# 
  5048  0593                     	;# 
  5049  059C                     	;# 
  5050  059C                     	;# 
  5051  059D                     	;# 
  5052  059D                     	;# 
  5053  059E                     	;# 
  5054  059F                     	;# 
  5055  060C                     	;# 
  5056  060D                     	;# 
  5057  060E                     	;# 
  5058  060F                     	;# 
  5059  0610                     	;# 
  5060  0611                     	;# 
  5061  0612                     	;# 
  5062  0613                     	;# 
  5063  0614                     	;# 
  5064  070C                     	;# 
  5065  070D                     	;# 
  5066  070E                     	;# 
  5067  070F                     	;# 
  5068  0710                     	;# 
  5069  0711                     	;# 
  5070  0712                     	;# 
  5071  0713                     	;# 
  5072  0716                     	;# 
  5073  0717                     	;# 
  5074  0718                     	;# 
  5075  0719                     	;# 
  5076  071A                     	;# 
  5077  071B                     	;# 
  5078  071C                     	;# 
  5079  071D                     	;# 
  5080  0796                     	;# 
  5081  0797                     	;# 
  5082  0798                     	;# 
  5083  0799                     	;# 
  5084  079A                     	;# 
  5085  079B                     	;# 
  5086  080C                     	;# 
  5087  080D                     	;# 
  5088  080E                     	;# 
  5089  080F                     	;# 
  5090  0810                     	;# 
  5091  0811                     	;# 
  5092  0812                     	;# 
  5093  0813                     	;# 
  5094  0814                     	;# 
  5095  081A                     	;# 
  5096  081A                     	;# 
  5097  081B                     	;# 
  5098  081C                     	;# 
  5099  081C                     	;# 
  5100  081D                     	;# 
  5101  081E                     	;# 
  5102  081F                     	;# 
  5103  088C                     	;# 
  5104  088D                     	;# 
  5105  088E                     	;# 
  5106  088F                     	;# 
  5107  0890                     	;# 
  5108  0891                     	;# 
  5109  0892                     	;# 
  5110  0893                     	;# 
  5111  0895                     	;# 
  5112  0896                     	;# 
  5113  090C                     	;# 
  5114  090E                     	;# 
  5115  090F                     	;# 
  5116  091F                     	;# 
  5117  098F                     	;# 
  5118  098F                     	;# 
  5119  0990                     	;# 
  5120  0991                     	;# 
  5121  0992                     	;# 
  5122  0993                     	;# 
  5123  0994                     	;# 
  5124  0995                     	;# 
  5125  0996                     	;# 
  5126  0997                     	;# 
  5127  0A19                     	;# 
  5128  0A19                     	;# 
  5129  0A1A                     	;# 
  5130  0A1A                     	;# 
  5131  0A1B                     	;# 
  5132  0A1B                     	;# 
  5133  0A1B                     	;# 
  5134  0A1C                     	;# 
  5135  0A1C                     	;# 
  5136  0A1D                     	;# 
  5137  0A1D                     	;# 
  5138  0A1E                     	;# 
  5139  0A1E                     	;# 
  5140  0A1F                     	;# 
  5141  0A1F                     	;# 
  5142  0A1F                     	;# 
  5143  1E0F                     	;# 
  5144  1E10                     	;# 
  5145  1E11                     	;# 
  5146  1E12                     	;# 
  5147  1E13                     	;# 
  5148  1E14                     	;# 
  5149  1E15                     	;# 
  5150  1E16                     	;# 
  5151  1E17                     	;# 
  5152  1E18                     	;# 
  5153  1E19                     	;# 
  5154  1E1A                     	;# 
  5155  1E1B                     	;# 
  5156  1E1C                     	;# 
  5157  1E1D                     	;# 
  5158  1E1E                     	;# 
  5159  1E1F                     	;# 
  5160  1E20                     	;# 
  5161  1E21                     	;# 
  5162  1E22                     	;# 
  5163  1E23                     	;# 
  5164  1E24                     	;# 
  5165  1E25                     	;# 
  5166  1E26                     	;# 
  5167  1E27                     	;# 
  5168  1E28                     	;# 
  5169  1E29                     	;# 
  5170  1E2A                     	;# 
  5171  1E2B                     	;# 
  5172  1E2C                     	;# 
  5173  1E2D                     	;# 
  5174  1E2E                     	;# 
  5175  1E2F                     	;# 
  5176  1E30                     	;# 
  5177  1E31                     	;# 
  5178  1E32                     	;# 
  5179  1E33                     	;# 
  5180  1E34                     	;# 
  5181  1E35                     	;# 
  5182  1E36                     	;# 
  5183  1E37                     	;# 
  5184  1E8F                     	;# 
  5185  1E90                     	;# 
  5186  1E91                     	;# 
  5187  1E92                     	;# 
  5188  1E93                     	;# 
  5189  1E9C                     	;# 
  5190  1EA1                     	;# 
  5191  1EA2                     	;# 
  5192  1EB1                     	;# 
  5193  1EBB                     	;# 
  5194  1EBC                     	;# 
  5195  1EBD                     	;# 
  5196  1EBE                     	;# 
  5197  1EC3                     	;# 
  5198  1EC5                     	;# 
  5199  1EC6                     	;# 
  5200  1EC7                     	;# 
  5201  1ECB                     	;# 
  5202  1ECC                     	;# 
  5203  1ECD                     	;# 
  5204  1ECE                     	;# 
  5205  1F10                     	;# 
  5206  1F11                     	;# 
  5207  1F12                     	;# 
  5208  1F13                     	;# 
  5209  1F14                     	;# 
  5210  1F15                     	;# 
  5211  1F1C                     	;# 
  5212  1F1D                     	;# 
  5213  1F1E                     	;# 
  5214  1F1F                     	;# 
  5215  1F20                     	;# 
  5216  1F21                     	;# 
  5217  1F22                     	;# 
  5218  1F23                     	;# 
  5219  1F24                     	;# 
  5220  1F25                     	;# 
  5221  1F26                     	;# 
  5222  1F27                     	;# 
  5223  1F38                     	;# 
  5224  1F39                     	;# 
  5225  1F3A                     	;# 
  5226  1F3B                     	;# 
  5227  1F3C                     	;# 
  5228  1F3D                     	;# 
  5229  1F3E                     	;# 
  5230  1F3F                     	;# 
  5231  1F43                     	;# 
  5232  1F44                     	;# 
  5233  1F45                     	;# 
  5234  1F46                     	;# 
  5235  1F47                     	;# 
  5236  1F48                     	;# 
  5237  1F49                     	;# 
  5238  1F4A                     	;# 
  5239  1F4E                     	;# 
  5240  1F4F                     	;# 
  5241  1F50                     	;# 
  5242  1F51                     	;# 
  5243  1F52                     	;# 
  5244  1F53                     	;# 
  5245  1F54                     	;# 
  5246  1F55                     	;# 
  5247  1FE4                     	;# 
  5248  1FE5                     	;# 
  5249  1FE6                     	;# 
  5250  1FE7                     	;# 
  5251  1FE8                     	;# 
  5252  1FE8                     	;# 
  5253  1FE9                     	;# 
  5254  1FEA                     	;# 
  5255  1FEA                     	;# 
  5256  1FEB                     	;# 
  5257  1FED                     	;# 
  5258  1FEE                     	;# 
  5259  1FEF                     	;# 
  5260                           
  5261                           	psect	nvCOMMON
  5262  0076                     __pnvCOMMON:	
  5263  0076                     _IOCAF5_InterruptHandler:	
  5264  0076                     	ds	2
  5265  0078                     _flag_update_mem:	
  5266  0078                     	ds	1
  5267                           
  5268                           	psect	nvBANK0
  5269  0062                     __pnvBANK0:	
  5270  0062                     _CMP2_InterruptHandler:	
  5271  0062                     	ds	2
  5272  0064                     _TMR1_InterruptHandler:	
  5273  0064                     	ds	2
  5274  0066                     _timer1ReloadVal:	
  5275  0066                     	ds	2
  5276  0068                     _TMR0_InterruptHandler:	
  5277  0068                     	ds	2
  5278  006A                     _IOCBF7_InterruptHandler:	
  5279  006A                     	ds	2
  5280  006C                     _IOCBF6_InterruptHandler:	
  5281  006C                     	ds	2
  5282  006E                     _EUSART1_RxDefaultInterruptHandler:	
  5283  006E                     	ds	2
  5284  000D                     _PORTBbits	set	13
  5285  000C                     _PORTAbits	set	12
  5286  000B                     _INTCONbits	set	11
  5287  0014                     _TRISC	set	20
  5288  0013                     _TRISB	set	19
  5289  0012                     _TRISA	set	18
  5290  001A                     _LATC	set	26
  5291  0019                     _LATB	set	25
  5292  0018                     _LATA	set	24
  5293  009D                     _ADCON0bits	set	157
  5294  009C                     _ADRESH	set	156
  5295  009B                     _ADRESL	set	155
  5296  009E                     _ADCON1	set	158
  5297  009D                     _ADCON0	set	157
  5298  0119                     _RC1REG	set	281
  5299  011D                     _RC1STAbits	set	285
  5300  011C                     _SP1BRGH	set	284
  5301  011B                     _SP1BRGL	set	283
  5302  011E                     _TX1STA	set	286
  5303  011D                     _RC1STA	set	285
  5304  011F                     _BAUD1CON	set	287
  5305  020E                     _T1CONbits	set	526
  5306  020E                     _T1CON	set	526
  5307  020C                     _TMR1L	set	524
  5308  020D                     _TMR1H	set	525
  5309  0211                     _T1CLK	set	529
  5310  0210                     _T1GATE	set	528
  5311  020F                     _T1GCON	set	527
  5312  028E                     _T2CON	set	654
  5313  028C                     _T2TMR	set	652
  5314  028D                     _T2PR	set	653
  5315  0291                     _T2RST	set	657
  5316  028F                     _T2HLT	set	655
  5317  0290                     _T2CLKCON	set	656
  5318  031C                     _PWM5DCL	set	796
  5319  031D                     _PWM5DCH	set	797
  5320  031E                     _PWM5CON	set	798
  5321  0318                     _PWM4DCL	set	792
  5322  0319                     _PWM4DCH	set	793
  5323  031A                     _PWM4CON	set	794
  5324  0314                     _PWM3DCL	set	788
  5325  0315                     _PWM3DCH	set	789
  5326  0316                     _PWM3CON	set	790
  5327  038C                     _PWM6DCL	set	908
  5328  038D                     _PWM6DCH	set	909
  5329  038E                     _PWM6CON	set	910
  5330  059E                     _T0CON0bits	set	1438
  5331  059E                     _T0CON0	set	1438
  5332  059C                     _TMR0L	set	1436
  5333  059D                     _TMR0H	set	1437
  5334  059F                     _T0CON1	set	1439
  5335  0710                     _PIR4bits	set	1808
  5336  071A                     _PIE4bits	set	1818
  5337  070E                     _PIR2bits	set	1806
  5338  0718                     _PIE2bits	set	1816
  5339  070C                     _PIR0bits	set	1804
  5340  0716                     _PIE0bits	set	1814
  5341  070F                     _PIR3bits	set	1807
  5342  0719                     _PIE3bits	set	1817
  5343  079A                     _PMD4bits	set	1946
  5344  0799                     _PMD3bits	set	1945
  5345  0798                     _PMD2bits	set	1944
  5346  0797                     _PMD1bits	set	1943
  5347  079B                     _PMD5	set	1947
  5348  079A                     _PMD4	set	1946
  5349  0799                     _PMD3	set	1945
  5350  0798                     _PMD2	set	1944
  5351  0797                     _PMD1	set	1943
  5352  0796                     _PMD0	set	1942
  5353  081C                     _NVMDAT	set	2076
  5354  081A                     _NVMADR	set	2074
  5355  081A                     _NVMADRL	set	2074
  5356  081F                     _NVMCON2	set	2079
  5357  081E                     _NVMCON1bits	set	2078
  5358  088C                     _CPUDOZEbits	set	2188
  5359  0892                     _OSCTUNE	set	2194
  5360  0890                     _OSCSTAT	set	2192
  5361  0893                     _OSCFRQ	set	2195
  5362  0891                     _OSCEN	set	2193
  5363  088F                     _OSCCON3	set	2191
  5364  088D                     _OSCCON1	set	2189
  5365  0994                     _CM2CON0bits	set	2452
  5366  0997                     _CM2PCH	set	2455
  5367  0996                     _CM2NCH	set	2454
  5368  0995                     _CM2CON1	set	2453
  5369  0994                     _CM2CON0	set	2452
  5370  1F27                     _RC7PPS	set	7975
  5371  1F25                     _RC5PPS	set	7973
  5372  1F12                     _RA2PPS	set	7954
  5373  1F23                     _RC3PPS	set	7971
  5374  1F48                     _IOCBPbits	set	8008
  5375  1F49                     _IOCBNbits	set	8009
  5376  1F4A                     _IOCBFbits	set	8010
  5377  1F3D                     _IOCAPbits	set	7997
  5378  1F3E                     _IOCANbits	set	7998
  5379  1F3F                     _IOCAFbits	set	7999
  5380  1F51                     _SLRCONC	set	8017
  5381  1F46                     _SLRCONB	set	8006
  5382  1F3B                     _SLRCONA	set	7995
  5383  1F50                     _ODCONC	set	8016
  5384  1F45                     _ODCONB	set	8005
  5385  1F3A                     _ODCONA	set	7994
  5386  1F4F                     _WPUC	set	8015
  5387  1F39                     _WPUA	set	7993
  5388  1F44                     _WPUB	set	8004
  5389  1F38                     _ANSELA	set	7992
  5390  1F43                     _ANSELB	set	8003
  5391  1F4E                     _ANSELC	set	8014
  5392                           
  5393                           ; #config settings
  5394  0000                     
  5395                           	psect	cinit
  5396  0031                     start_initialization:	
  5397  0031                     __initialization:	
  5398  0031  3020               	movlw	low __pbssBANK0
  5399                           
  5400                           ; Clear objects allocated to COMMON
  5401  0032  01F9               	clrf	__pbssCOMMON& (0+127)
  5402  0033  01FA               	clrf	(__pbssCOMMON+1)& (0+127)
  5403  0034  01FB               	clrf	(__pbssCOMMON+2)& (0+127)
  5404                           
  5405                           ; Clear objects allocated to BANK0
  5406  0035  0084               	movwf	4
  5407  0036  3000               	movlw	high __pbssBANK0
  5408  0037  0085               	movwf	5
  5409  0038  3028               	movlw	40
  5410  0039  318C  2497         	fcall	clear_ram0
  5411  003B                     end_of_initialization:	
  5412                           ;End of C runtime variable initialization code
  5413                           
  5414  003B                     __end_of__initialization:	
  5415  003B  107E               	bcf	126,0	;clear compiler interrupt flag (level 1)
  5416  003C  0140               	movlb	0
  5417  003D  3181  293E         	ljmp	_main	;jump to C main() function
  5418                           
  5419                           	psect	bssCOMMON
  5420  0079                     __pbssCOMMON:	
  5421  0079                     _eusart1RxCount:	
  5422  0079                     	ds	1
  5423  007A                     _eusart1RxTail:	
  5424  007A                     	ds	1
  5425  007B                     _eusart1RxHead:	
  5426  007B                     	ds	1
  5427                           
  5428                           	psect	bssBANK0
  5429  0020                     __pbssBANK0:	
  5430  0020                     _eusart1RxBuffer:	
  5431  0020                     	ds	8
  5432  0028                     _snooze_time_cont:	
  5433  0028                     	ds	4
  5434  002C                     _tilt_time_cont:	
  5435  002C                     	ds	4
  5436  0030                     _button_time_cont:	
  5437  0030                     	ds	4
  5438  0034                     _minutes_count:	
  5439  0034                     	ds	4
  5440  0038                     _tick_100ms:	
  5441  0038                     	ds	4
  5442  003C                     _VBAT:	
  5443  003C                     	ds	2
  5444  003E                     _batt_stat:	
  5445  003E                     	ds	1
  5446  003F                     _snooze_event:	
  5447  003F                     	ds	1
  5448  0040                     _sip_event:	
  5449  0040                     	ds	1
  5450  0041                     _push_single_event:	
  5451  0041                     	ds	1
  5452  0042                     _push_restore_event:	
  5453  0042                     	ds	1
  5454  0043                     _push_change_event:	
  5455  0043                     	ds	1
  5456  0044                     _snooze_cont_en:	
  5457  0044                     	ds	1
  5458  0045                     _tilt_cont_en:	
  5459  0045                     	ds	1
  5460  0046                     _button_cont_en:	
  5461  0046                     	ds	1
  5462  0047                     _app:	
  5463  0047                     	ds	1
  5464                           
  5465                           	psect	clrtext
  5466  0C97                     clear_ram0:	
  5467                           ;	Called with FSR0 containing the base address, and
  5468                           ;	WREG with the size to clear
  5469                           
  5470  0C97  0064               	clrwdt	;clear the watchdog before getting into this loop
  5471  0C98                     clrloop0:	
  5472  0C98  0180               	clrf	0	;clear RAM location pointed to by FSR
  5473  0C99  3101               	addfsr 0,1
  5474  0C9A  0B89               	decfsz	9,f	;Have we reached the end of clearing yet?
  5475  0C9B  2C98               	goto	clrloop0	;have we reached the end yet?
  5476  0C9C  3400               	retlw	0	;all done for this memory range, return
  5477                           
  5478                           	psect	cstackCOMMON
  5479  0070                     __pcstackCOMMON:	
  5480  0070                     ?_PMD_Initialize:	
  5481  0070                     ?_PIN_MANAGER_Initialize:	
  5482                           ; 1 bytes @ 0x0
  5483                           
  5484  0070                     ?_OSCILLATOR_Initialize:	
  5485                           ; 1 bytes @ 0x0
  5486                           
  5487  0070                     ?_CMP2_Initialize:	
  5488                           ; 1 bytes @ 0x0
  5489                           
  5490  0070                     ?_PWM4_Initialize:	
  5491                           ; 1 bytes @ 0x0
  5492                           
  5493  0070                     ?_TMR2_Initialize:	
  5494                           ; 1 bytes @ 0x0
  5495                           
  5496  0070                     ?_TMR0_Initialize:	
  5497                           ; 1 bytes @ 0x0
  5498                           
  5499  0070                     ?_PWM6_Initialize:	
  5500                           ; 1 bytes @ 0x0
  5501                           
  5502  0070                     ?_ADC_Initialize:	
  5503                           ; 1 bytes @ 0x0
  5504                           
  5505  0070                     ?_PWM3_Initialize:	
  5506                           ; 1 bytes @ 0x0
  5507                           
  5508  0070                     ?_PWM5_Initialize:	
  5509                           ; 1 bytes @ 0x0
  5510                           
  5511  0070                     ?_TMR1_Initialize:	
  5512                           ; 1 bytes @ 0x0
  5513                           
  5514  0070                     ?_EUSART1_Initialize:	
  5515                           ; 1 bytes @ 0x0
  5516                           
  5517  0070                     ?_EUSART1_Receive_ISR:	
  5518                           ; 1 bytes @ 0x0
  5519                           
  5520  0070                     ??_EUSART1_Receive_ISR:	
  5521                           ; 1 bytes @ 0x0
  5522                           
  5523  0070                     ?_IOCAF5_DefaultInterruptHandler:	
  5524                           ; 1 bytes @ 0x0
  5525                           
  5526  0070                     ??_IOCAF5_DefaultInterruptHandler:	
  5527                           ; 1 bytes @ 0x0
  5528                           
  5529  0070                     ?_IOCBF6_DefaultInterruptHandler:	
  5530                           ; 1 bytes @ 0x0
  5531                           
  5532  0070                     ??_IOCBF6_DefaultInterruptHandler:	
  5533                           ; 1 bytes @ 0x0
  5534                           
  5535  0070                     ?_IOCBF7_DefaultInterruptHandler:	
  5536                           ; 1 bytes @ 0x0
  5537                           
  5538  0070                     ??_IOCBF7_DefaultInterruptHandler:	
  5539                           ; 1 bytes @ 0x0
  5540                           
  5541  0070                     ?_IOCAF5_ISR:	
  5542                           ; 1 bytes @ 0x0
  5543                           
  5544  0070                     ?_IOCBF6_ISR:	
  5545                           ; 1 bytes @ 0x0
  5546                           
  5547  0070                     ??_IOCBF6_ISR:	
  5548                           ; 1 bytes @ 0x0
  5549                           
  5550  0070                     ?_IOCBF7_ISR:	
  5551                           ; 1 bytes @ 0x0
  5552                           
  5553  0070                     ?_TMR0_ISR:	
  5554                           ; 1 bytes @ 0x0
  5555                           
  5556  0070                     ?_CMP2_ISR:	
  5557                           ; 1 bytes @ 0x0
  5558                           
  5559  0070                     ?_TMR1_ISR:	
  5560                           ; 1 bytes @ 0x0
  5561                           
  5562  0070                     ?_TMR0_DefaultInterruptHandler:	
  5563                           ; 1 bytes @ 0x0
  5564                           
  5565  0070                     ??_TMR0_DefaultInterruptHandler:	
  5566                           ; 1 bytes @ 0x0
  5567                           
  5568  0070                     ?_TMR1_DefaultInterruptHandler:	
  5569                           ; 1 bytes @ 0x0
  5570                           
  5571  0070                     ??_TMR1_DefaultInterruptHandler:	
  5572                           ; 1 bytes @ 0x0
  5573                           
  5574  0070                     ?_buttChangeInt:	
  5575                           ; 1 bytes @ 0x0
  5576                           
  5577  0070                     ??_buttChangeInt:	
  5578                           ; 1 bytes @ 0x0
  5579                           
  5580  0070                     ?_tiltChange2:	
  5581                           ; 1 bytes @ 0x0
  5582                           
  5583  0070                     ??_tiltChange2:	
  5584                           ; 1 bytes @ 0x0
  5585                           
  5586  0070                     ?_batteryGetStatus:	
  5587                           ; 1 bytes @ 0x0
  5588                           
  5589  0070                     ?_minuteInt:	
  5590                           ; 1 bytes @ 0x0
  5591                           
